refdes,pin,voltage,current
U1,2,3.3,0.0001
U1,1,0.0,-0.0001
U8,2,3.29999,-0.0001
U8,1,3.18454e-07,8.33349e-06
U8,15,2.81142e-07,8.33351e-06
U8,38,3.0992e-07,8.3335e-06
U8,pdna_pin_39_1,8.25611e-07,8.33322e-06
U8,pdna_pin_39_2,8.137e-07,8.33322e-06
U8,pdna_pin_39_3,6.52578e-07,8.33331e-06
U8,pdna_pin_39_4,5.83431e-07,8.33335e-06
U8,pdna_pin_39_5,5.02247e-07,8.33339e-06
U8,pdna_pin_39_6,4.09528e-07,8.33344e-06
U8,pdna_pin_39_7,7.91381e-07,8.33324e-06
U8,pdna_pin_39_8,7.56664e-07,8.33325e-06
U8,pdna_pin_39_9,7.10631e-07,8.33328e-06
