refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,3.3,0.0001,0
VCOMP0,VCOMP0-1,0,-0.0001,0
VCOMP1,VCOMP1-0,3.29999,-0.0001,1846.15
VCOMP1,VCOMP1-1,3.18454e-07,8.33349e-06,1846.15
VCOMP1,VCOMP1-2,2.81142e-07,8.33351e-06,1846.15
VCOMP1,VCOMP1-3,3.0992e-07,8.3335e-06,1846.15
VCOMP1,VCOMP1-4,8.25611e-07,8.33322e-06,1846.15
VCOMP1,VCOMP1-5,8.137e-07,8.33322e-06,1846.15
VCOMP1,VCOMP1-6,6.52578e-07,8.33331e-06,1846.15
VCOMP1,VCOMP1-7,5.83431e-07,8.33335e-06,1846.15
VCOMP1,VCOMP1-8,5.02247e-07,8.33339e-06,1846.15
VCOMP1,VCOMP1-9,4.09528e-07,8.33344e-06,1846.15
VCOMP1,VCOMP1-10,7.91381e-07,8.33324e-06,1846.15
VCOMP1,VCOMP1-11,7.56664e-07,8.33325e-06,1846.15
VCOMP1,VCOMP1-12,7.10631e-07,8.33328e-06,1846.15
